Date,Clicks,Impressions,Avg. CPC,Cost
2023-03-23,12,519,$1.90,$22.83
2023-03-24,10,425,$1.71,$17.13
2023-03-25,10,536,$1.51,$15.14
2023-03-26,12,299,$0.98,$11.75
2023-03-27,12,412,$1.20,$14.40
2023-03-28,16,695,$1.27,$20.32
2023-03-29,11,214,$2.65,$29.17
2023-03-30,7,659,$0.76,$5.35
2023-03-31,12,"1,511",$2.90,$34.82
2023-04-01,7,"3,256",$1.98,$13.83
2023-04-02,12,864,$2.69,$32.23
2023-04-03,8,149,$3.14,$25.15
2023-04-04,3,157,$8.38,$25.13
2023-04-05,3,82,$9.16,$27.47
2023-04-06,5,344,$4.40,$22.00
2023-04-07,6,289,$3.24,$19.43
2023-04-08,6,976,$2.18,$13.05
2023-04-09,14,"3,931",$0.99,$13.80
2023-04-10,10,"1,205",$1.98,$19.84
2023-04-11,5,254,$4.13,$20.64
2023-04-12,5,714,$2.20,$11.02
2023-04-13,16,"7,783",$1.35,$21.59
2023-04-14,12,"10,615",$1.71,$20.51
2023-04-15,20,"10,628",$0.81,$16.17
2023-04-16,21,"8,795",$0.70,$14.61
2023-04-17,24,"6,638",$1.12,$26.92
2023-04-18,23,"9,436",$1.67,$38.43
2023-04-19,25,"9,693",$1.13,$28.25
2023-04-20,6,"1,453",$2.75,$16.50
2023-04-21,15,"5,545",$0.90,$13.43
2023-04-22,18,"4,824",$1.21,$21.75
2023-04-23,14,"7,315",$1.21,$16.97
2023-04-24,19,"6,643",$1.13,$21.48
2023-04-25,14,"11,905",$1.18,$16.46
2023-04-26,19,"17,956",$0.74,$14.05
2023-04-27,16,"13,466",$1.49,$23.78
2023-04-28,12,"7,553",$1.22,$14.67
2023-04-29,12,"9,319",$1.28,$15.30
2023-04-30,10,"18,403",$1.64,$16.44
2023-05-01,11,"7,953",$1.21,$13.31
2023-05-02,13,"7,701",$1.15,$14.99
2023-05-03,18,"10,993",$0.94,$16.91
2023-05-04,13,"11,599",$0.79,$10.27
2023-05-05,13,"11,144",$0.79,$10.28
2023-05-06,16,"9,913",$1.07,$17.06
2023-05-07,8,"3,919",$1.52,$12.15
2023-05-08,16,"13,599",$1.56,$24.98
2023-05-09,21,"6,270",$1.80,$37.84
2023-05-10,21,"8,327",$1.14,$23.91
2023-05-11,19,"9,763",$1.32,$25.02
2023-05-12,24,"17,087",$1.70,$40.75
2023-05-13,22,"9,181",$1.38,$30.30
2023-05-14,14,"9,057",$1.29,$18.05
2023-05-15,5,"2,104",$3.92,$19.58
2023-05-16,10,"6,105",$2.23,$22.27
2023-05-17,15,"5,889",$1.35,$20.28
2023-05-18,13,"7,091",$1.20,$15.54
2023-05-19,9,"3,397",$1.40,$12.59
2023-05-20,17,"8,364",$0.86,$14.61
2023-05-21,10,"3,907",$1.15,$11.54
2023-05-22,14,"9,133",$0.82,$11.45
2023-05-23,17,"10,660",$1.04,$17.68
2023-05-24,22,"9,659",$1.01,$22.12
2023-05-25,15,"7,592",$1.36,$20.34
2023-05-26,26,"8,693",$1.01,$26.35
2023-05-27,15,"5,170",$0.75,$11.23
2023-05-28,17,"6,508",$0.70,$11.98
2023-05-29,19,"6,648",$0.78,$14.74
2023-05-30,21,"5,860",$0.65,$13.64
2023-05-31,26,"9,157",$1.21,$31.48
2023-06-01,14,"3,175",$2.01,$28.19
2023-06-02,28,"12,740",$1.01,$28.32
2023-06-03,26,"5,744",$0.78,$20.16
2023-06-04,23,"6,012",$1.30,$29.93
2023-06-05,5,"3,273",$3.14,$15.71
2023-06-06,22,"9,288",$1.04,$22.79
2023-06-07,11,"5,410",$1.62,$17.85
2023-06-08,15,"3,578",$1.69,$25.31
2023-06-09,15,"6,794",$0.82,$12.25
2023-06-10,12,"5,849",$1.19,$14.26
2023-06-11,20,"12,429",$0.74,$14.80
2023-06-12,13,"4,690",$1.00,$13.03
2023-06-13,13,"5,955",$0.87,$11.28
2023-06-14,9,"5,558",$1.48,$13.35
2023-06-15,17,"10,418",$0.82,$13.92
2023-06-16,9,"6,122",$1.48,$13.34
2023-06-17,16,"8,050",$0.89,$14.30
2023-06-18,21,"15,530",$0.97,$20.40
2023-06-19,17,"7,306",$1.07,$18.23
2023-06-20,20,"5,289",$1.66,$33.13
2023-06-21,16,"11,699",$2.45,$39.15
2023-06-22,16,"7,720",$2.49,$39.85
2023-06-23,13,"5,038",$1.10,$14.31
2023-06-24,11,"8,968",$1.46,$16.07
2023-06-25,10,"7,070",$1.19,$11.94
2023-06-26,11,"7,277",$1.21,$13.32
2023-06-27,22,"8,551",$1.82,$39.99
2023-06-28,17,"7,596",$0.98,$16.69
2023-06-29,14,"6,229",$1.28,$17.92
2023-06-30,19,"6,327",$0.78,$14.86
2023-07-01,25,"11,204",$0.63,$15.67
2023-07-02,19,"8,152",$0.63,$12.00
2023-07-03,24,"10,523",$1.28,$30.70
2023-07-04,22,"9,392",$0.79,$17.30
2023-07-05,21,"9,853",$1.26,$26.49
2023-07-06,10,"2,101",$3.58,$35.83
2023-07-07,15,"2,688",$1.17,$17.56
2023-07-08,12,"15,521",$1.26,$15.17
2023-07-09,20,"5,336",$0.51,$10.12
2023-07-10,19,"7,639",$0.86,$16.38
2023-07-11,22,"6,726",$1.16,$25.54
2023-07-12,24,"9,716",$0.94,$22.54
2023-07-13,15,"5,515",$1.71,$25.60
2023-07-14,16,"10,758",$0.95,$15.24
2023-07-15,18,"9,140",$0.81,$14.60
2023-07-16,17,"12,225",$0.68,$11.59
2023-07-17,9,"8,731",$1.17,$10.55
2023-07-18,19,"14,566",$0.66,$12.48
2023-07-19,21,"11,840",$0.71,$15.00
2023-07-20,21,"7,628",$1.88,$39.54
2023-07-21,17,"5,664",$2.35,$40.00
2023-07-22,5,"1,196",$3.67,$18.33
2023-07-23,18,"5,638",$1.62,$29.10
2023-07-24,24,"9,044",$0.53,$12.70
2023-07-25,22,"8,960",$0.76,$16.80
2023-07-26,15,"12,854",$1.11,$16.63
2023-07-27,15,"14,110",$1.35,$20.26
2023-07-28,14,"5,833",$0.90,$12.62
2023-07-29,15,"9,286",$0.87,$13.07
2023-07-30,14,"4,517",$1.06,$14.91
2023-07-31,5,"2,288",$2.28,$11.39
2023-08-01,6,"5,362",$2.15,$12.87
2023-08-02,16,"9,050",$1.25,$19.94
2023-08-03,13,"6,273",$1.02,$13.24
2023-08-04,15,"6,396",$1.14,$17.10
2023-08-05,25,"16,859",$0.79,$19.64
2023-08-06,16,"13,896",$0.72,$11.56
2023-08-07,21,"13,124",$0.68,$14.27
2023-08-08,11,"8,440",$1.03,$11.36
2023-08-09,12,"11,240",$1.20,$14.38
2023-08-10,11,"2,341",$1.02,$11.27
2023-08-11,9,"5,778",$1.15,$10.36
2023-08-12,18,"11,399",$0.60,$10.77
2023-08-13,16,"14,042",$0.83,$13.26
2023-08-14,24,"10,346",$0.56,$13.44
2023-08-15,25,"5,116",$0.52,$13.05
2023-08-16,21,"9,553",$0.79,$16.67
2023-08-17,13,"4,887",$0.86,$11.15
2023-08-18,21,"7,733",$0.77,$16.26
2023-08-19,24,"8,456",$0.68,$16.34
2023-08-20,16,"9,524",$0.93,$14.88
2023-08-21,12,"6,375",$1.23,$14.72
2023-08-22,19,"6,737",$0.78,$14.78
2023-08-23,15,"4,451",$0.85,$12.77
2023-08-24,17,"9,414",$0.74,$12.54
2023-08-25,15,"6,909",$0.88,$13.13
2023-08-26,13,"8,495",$0.88,$11.44
2023-08-27,12,"4,205",$1.13,$13.53
2023-08-28,18,"4,152",$0.79,$14.30
2023-08-29,18,"11,174",$0.92,$16.55
2023-08-30,15,"6,555",$0.90,$13.49
2023-08-31,13,"5,691",$0.93,$12.06
2023-09-01,13,"4,248",$0.81,$10.59
2023-09-02,18,"8,181",$0.74,$13.24
2023-09-03,26,"4,497",$0.60,$15.50
2023-09-04,16,"6,349",$0.78,$12.40
2023-09-05,15,"5,182",$0.84,$12.55
2023-09-06,19,"10,509",$1.06,$20.14
2023-09-07,12,"7,412",$1.05,$12.54
2023-09-08,9,"1,840",$1.26,$11.38
2023-09-09,6,"1,207",$2.09,$12.54
2023-09-10,11,"3,481",$1.15,$12.68
2023-09-11,5,"1,564",$3.28,$16.41
2023-09-12,2,"3,071",$0.29,$0.57
2023-09-13,5,"1,599",$7.87,$39.34
2023-09-14,14,"3,996",$2.94,$41.19
2023-09-15,10,"3,776",$4.03,$40.25
2023-09-16,11,"6,039",$2.09,$22.99
2023-09-17,16,"4,730",$1.78,$28.41
2023-09-18,18,"8,209",$2.24,$40.38
2023-09-19,6,"3,849",$5.83,$34.97
2023-09-20,7,"3,037",$3.37,$23.60
2023-09-21,4,"1,606",$5.51,$22.05
2023-09-22,7,"7,958",$3.36,$23.54
2023-09-23,14,"7,914",$1.64,$22.95
